SiteID,ValidNode,SiteType,SiteName.x,SiteDescription.x,SiteTypeName.x,RKM.x,RKMTotal.x,Latitude.x,Longitude.x,path,Area.x,Branch,Site type,Purpose,Operational_Assessment,Original_Fasttrack,Data_Steward,O&M,Funding,ConfigID,Area.y,Model_Branch,branch num,PATH,SiteName.y,SiteTypeName.y,Interrogation Site Subbasin Code,SubBasin Name,RKM.y,RKMTotal.y,AntennaGroup,SiteDescription.y,Latitude.y,Longitude.y,Data Steward Name,Steward Email,Steward Phone,Steward Organization,Steelhead_TRT_POPID,Steelhead_POP_NAME,Steelhead_ESU_DPS,Steelhead_MPG,Chinook_TRT_POPID,Chinook_POP_NAME,Chinook_ESU_DPS,Chinook_MPG
85M,NA,INT,Eightmile Ck at Fivemile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIVEMILE CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF THREE ANTENNAS IN EACH CREEK. EACH ANTENNA SPANS THE CREEK WITHIN THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.",Instream Remote Detection System,309.004.002,315,45.59329518,-121.0806345,GRA.Below_GRA.Below_GRA_Other.85M,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB1,NA,INT,Abernathy Creek FWS Tech Cntr.,Bridge over Abernathy Creek (WA.) at Abernathy Fish Technology Center (AFTC),Instream Remote Detection System,087.005,92,46.22634995,-123.1477734,GRA.Below_GRA.Below_GRA_Other.AB1,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB2,NA,INT,Abernathy Creek Farmers Bridge,"Private bridge over Abernathy Creek (WA.) at rkm 3, 1.5 km downstream from Abernathy FTC",Instream Remote Detection System,087.003,90,46.21265339,-123.1473251,GRA.Below_GRA.Below_GRA_Other.AB2,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB3,NA,INT,Lower Abernathy Creek,The PIT tag interrogation antennas are installed in parallel as a passover array located in the thalweg of the floodplain at Abernathy Creek (WA.) rkm 1. Coverage of the creek is 100% at baseflow but will decrease during floods or large freshets.,Instream Remote Detection System,087.001,88,46.19413642,-123.1669286,GRA.Below_GRA.Below_GRA_Other.AB3,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB4,NA,INT,Abernathy Creek Hatch Channel,An array of two antennas is located in the hatchery release channel on Abernathy Creek at the USFWS Abernathy Fish Technology Center.,Monitored Fish Release,087.005,92,46.22634,-123.14889,GRA.Below_GRA.Below_GRA_Other.AB4,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACB,NA,INT,Asotin Cr. at Cloverland Brdg.,"ACB is a permanent instream PIT tag interrogation site located near Cloverland Bridge (RKM 4.5) on Asotin Creek, a tributary of the Snake River. As of 10/23/2018 all previous components present at ACB have been replaced and upgraded. The site consists of 2 rows of antennas with each row containing one 20-foot and one 10-foot HDPE antenna, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at ACB until further notice. Prior to the upgrade, the site consisted of three antennas powered by an FS1001M.",Instream Remote Detection System,522.234.005,761,46.32558413,-117.1086788,GRA.Snake.Asotin.ACM.ASOTIC.ACB,Snake,Asotin,INT,Adult/Juvenile,No,No,ELR,Unknown,Unknown,110,Asotin,Asotin,5,GRA ACMB0 ACMA0 ASOTIC ACB,Asotin Cr. at Cloverland Brdg.,Instream Remote Detection System,17060103,Lower Snake-Asotin,522.234.005,761,Single Array,"An instream interrogation site in the mainstem of Asotin Creek above the George Creek confluence, underneath the Cloverland Bridge. Site started operations in 2009 with a single row of 5 antennas spanning the width of the creek. The first two years of data were originally reported as Passive Recaptures. The site was officially registered as an interrogation site in PTAGIS December 2010. The site was damaged during high flows in the spring of 2017 and was reconfigured in September 2017 with 3 antennas in a single row. In December 2017, the original passive recapture records were removed and the detection records were submitted as interrogation data.",46.32558413,-117.1086788,Steve Bennett,bennett.ecological@gmail.com,(435) 757-5668,ELR,SNASO-s,Asotin Creek,Snake River Basin Steelhead DPS,Lower Snake,SNASO,Asotin Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake
ACM,NA,INT,Asotin Creek near mouth,"ACM is a permanent instream PIT tag interrogation site located near the mouth of Asotin Creek, a tributary of the Snake River. As of 10/12/2018 all previous components present at ACM have been replaced and upgraded. The site consists of 3 rows of antennas with each row containing two 20- foot HDPE antennae, installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at ACM until further notice. Prior to the upgrade, the site consisted of six antennas powered by an FS1001M.",Instream Remote Detection System,522.234.001,757,46.341368,-117.055707,GRA.Snake.Asotin.ACM,Snake,Asotin,INT,Adult/Juvenile,No,No,ELR,Unknown,Unknown,110,Asotin,Asotin,5,GRA ACMB0 ACMA0,Asotin Creek near mouth,Instream Remote Detection System,17060103,Lower Snake-Asotin,522.234.001,757,UPSTREAM ARRAY,"Four muxed antennas located near the mouth of Asotin Creek 50 m upstream of the Highway 129 bridge spanning the mainstem of Asotin Creek in two serial sets of two antennas. Campbell Scientific data logger and phone modem were installed on September 30, 2011 to upload data to ISEMP server run by Quantitative Consultants in Boise, ID.",46.341368,-117.055707,Steve Bennett,bennett.ecological@gmail.com,(435) 757-5668,ELR,SNASO-s,Asotin Creek,Snake River Basin Steelhead DPS,Lower Snake,SNASO,Asotin Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake
AEN,NA,INT,Aeneas Creek Temporary Array,"Aeneas Creek enters the Okanogan River at RKM 85.3, approximately 6.7 KM down river from the town of Tonasket, WA. The AEN site is located approximately 0.2 KM upstream from the confluence of the Okanogan River. The setup consists of a single pass-through antenna. The antenna spans the wetted width of the channel at base flows. The antenna is operated by an Allflex RM 310 board. Data is recorded on a Compact Flash card through a Acumen Databridge. 6 VDC battery bank is used for power.",Instream Remote Detection System,858.086.001,945,48.6585784,-119.476197,GRA.Below_GRA.Below_GRA_Other.AEN,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFC,NA,INT,No./So. Fk Asotin Cr. Jct. ISA,"AFC is a permanent instream PIT tag interrogation site located at the confluence of the North and South Forks Asotin Creek, a tributary of the Snake River. As of 10/25/2018 all previous components present at AFC have been replaced and upgraded. The site consists of a single 20-foot antenna in the North Fork (antenna ID 1), a single 15-foot antenna in the South Fork (antenna ID 2) and two rows containing a 20 and 15-foot antenna each (antenna IDs 3-6) in the mainstem of Asotin Creek below the confluence. All new antennas are constructed of HDPE and installed in flat-plate configuration. Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MTS master controller. The antennas were built and installed by WDFW. The site is connected to grid power to charge the battery bank powering the detection system. A cellular modem is installed on site to provide remote communication and allow for automated data collection, however, only manual data collection from the IS1001-MTS will occur at AFC until further notice. Prior to the upgrade, the site consisted of six muxed antennas powered by an FS1001M.",Instream Remote Detection System,522.234.025,781,46.27248743,-117.2921472,GRA.Snake.Asotin.ACM.ASOTIC.ACB.AFC,Snake,Asotin,INT,Adult/Juvenile,No,No,ELR,Unknown,Unknown,100,SNAKE,Asotin,5,GRA ACMB0 ACMA0 ASOTIC ACB AFCB0 AFCA0,No./So. Fk Asotin Cr. Jct. ISA,Instream Remote Detection System,17060103,Lower Snake-Asotin,522.234.025,781,NORTH FORK ASOTIN CREEK ARRAY,"Six muxed antennas located at the confluence of the mainstem of Asotin Creek, North Fork Asotin Creek, and South Fork Asotin Creek. Three antennas span the mainstem, two antennas span the North Fork, and one antenna spans the South Fork. The first two years of data were originally reported as Passive Recaptures. The site was officially registered as an interrogation site in PTAGIS December 2010. In December 2017, the original passive recapture records were removed and the detection records were submitted as interrogation data.",46.27248743,-117.2921472,Steve Bennett,bennett.ecological@gmail.com,(435) 757-5668,ELR,SNASO-s,Asotin Creek,Snake River Basin Steelhead DPS,Lower Snake,SNASO,Asotin Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake
AGC,NA,INT,"Agency Creek, Lemhi R. Basin","In-stream detection system consisting of a triple array located in Agency Creek. The array (AGC) is located 1.1 km upstream of the confluence with the Lemhi River and is comprised of 3 arrays, deployed serially at about 10 m apart, of one 10 ft PVC pipe pass-by antenna each. The Agency Creek array site is located 30 meters upstream of the culvert on Old Idaho 28 road. AGC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. Site electricity comes from the adjacent electrical service lines and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.. Site was decommissioned June 2017, last data recieved November 2016.",Instream Remote Detection System,522.303.416.039.001,1281,44.9567394,-113.6395426,GRA.Salmon.Lemhi.LLR.AGC,Salmon,Lemhi,INT,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,100,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 AGCB0 AGCA0,"Agency Creek, Lemhi R. Basin",Instream Remote Detection System,17060204,Lemhi,522.303.416.039.001,1281,Upstream Array,"In-stream detection system consisting of a triple array located in Agency Creek. The array (AGC) is located 1.1 km upstream of the confluence with the Lemhi River and is comprised of 3 arrays, deployed serially at about 10 m apart, of one 10 ft PVC pipe pass-by antenna each. The Agency Creek array site is located 30 meters upstream of the culvert on Old Idaho 28 road. AGC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. Site electricity comes from the adjacent electrical service lines and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.. Site was decommissioned June 2017, last data recieved November 2016.",44.9567394,-113.6395426,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
ANT,NA,INT,Antoine Creek Instream Array,"Antoine Creek enters the Okanogan River at RKM 98.5, approximately 6 km upstream from the city of Tonasket, WA. Site ANT is located on Antoine Creek, 0.48 km upstream from the confluence with the Okanogan River. The site consists of 4 passthrough PVC antennas in series. Antenna sizes are as follows (upstream to downstream): Ant1 9 feet, ant2 7 feet, ant3 7 feet, ant4 11 feet. The site is on grid power. Two banks of 12volt batteries in series create 24volts to run the MUX unit. The batteries are connected to a timer switcher that will switch battery banks every four hours. The battery bank not running the MUX unit is then charged to capacity using a three-stage battery charger. The ANT site has remote communication abilities provided by a Raven XT cellular modem. This allows access to data through HyperTerminal.",Instream Remote Detection System,858.099.000,957,48.75834489,-119.4084203,GRA.Below_GRA.Below_GRA_Other.ANT,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B1J,NA,INT,BONNEVILLE PH1 JUVENILE,Flat Plate Detector in the Bonneville Dam PH1 Downstream Migrant Bypass Channel,Juvenile Fish Bypass Facility,234,234,45.641462,-121.946125,GRA.Below_GRA.Below_GRA_Other.B1J,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2A,NA,INT,BONNEVILLE ADULT WA SHORE,Adult Fish Facility in the WA Shore Fishway at Bonneville Dam; replaced by BO3,Adult Fishway,234,234,45.64978797,-121.9365311,GRA.Below_GRA.Below_GRA_Other.B2A,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B2J,NA,INT,Bonneville PH2 Juvenile,Bonneville Dam PH2 Juvenile Bypass and Sampling Facility,Juvenile Fish Bypass Facility,234,234,45.636816,-121.9653,GRA.Below_GRA.Below_GRA_Other.B2J,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBA,NA,INT,Big Bear Creek Array,The Big Bear Creek Array is located in Big Bear Creek about 1.3 river kilometers from the confluence with the Potlatch River. The site consists of a single span of two Biomark 20’ HDPE antennas connected to a QuBE-IS1001 Controller.,Instream Remote Detection System,522.224.024.023.002,795,46.627882,-116.650795,GRA.Clearwater.Potlatch.JUL.KHS.BBA,Clearwater,Potlatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBP,NA,INT,Blackbird Pond Accl. Site,"This site is a temporary PIT tag detection system located at rkm 40.1 on the Wenatchee River, near Leavenworth, WA. The detection system consists of two, 24 in diameter antennas affixed to the end of the pond outfall pipe. The outfall pipe extends into the Wenatchee River. Each antenna is powered by an Allflex RM 310 reader, connected to a QST QuBE ACN controller. A 24 VDC battery bank powers the detection system. The antennas were built and installed by WDFW.",Monitored Fish Release,754.040,794,47.5885915,-120.6643749,GRA.Below_GRA.Below_GRA_Other.BBP,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBT,NA,INT,Touchet River at Bolles Bridge,"BBT is a permanent instream PIT tag interrogation site located approximately 200 feet above the State HWY 124 bridge on the Touchet River, near Bolles Road, at River Kilometer 65.2. The site consists of two rows of antennas, with each row nearly spanning the wetted width of the channel during base flows. Each row consists of 3 20-foot HDPE antennas, installed in flat-plate configuration (the original flat plate antennas were replaced in 2018). Each antenna is powered by a Biomark IS1001 (ACN) and the ACNs are connected to a Biomark IS1001-MC (MTS), which was installed in 2018. Prior to that the site operated with a FS2001M multiplexor transceiver. The antennas were built and installed by WDFW. The site is powered by direct power from grid. BBT has remote communication abilities provided by a cellular modem.",Instream Remote Detection System,509.035.065,609,46.27410039,-118.2203536,GRA.Below_GRA.Below_GRA_Other.BBT,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCC,NA,INT,BON PH2 Corner Collector,Bonneville Dam 2nd Powerhouse Corner Collector Outfall Channel,Juvenile Fish Bypass Facility,234,234,45.64814,-121.942544,GRA.Below_GRA.Below_GRA_Other.BCC,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BCP,NA,INT,Butcher Creek Acclimation Pond,"Butcher Creek Acclimation Pond, Wenatchee River Basin",Monitored Fish Release,754.089.013,856,47.76954874,-120.8023502,GRA.Below_GRA.Below_GRA_Other.BCP,Below_GRA,Below_GRA_Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
