Site type,SiteID,Purpose,Operational_Assessment,Original_Fasttrack,Data_Steward,O&M,Funding,ConfigID,Area,Model_Branch,branch num,PATH,SiteName,SiteTypeName,Interrogation Site Subbasin Code,SubBasin Name,RKM,RKMTotal,AntennaGroup,SiteDescription,Latitude,Longitude,Data Steward Name,Steward Email,Steward Phone,Steward Organization,Steelhead_TRT_POPID,Steelhead_POP_NAME,Steelhead_ESU_DPS,Steelhead_MPG,Chinook_TRT_POPID,Chinook_POP_NAME,Chinook_ESU_DPS,Chinook_MPG
INT,PCM,Adult/Juvenile,No,No,IDFG,IDFG,Unknown,100,Clearwater,Potlach River,8,GRA JUL PCMB0 PCMA0,"Pine Creek Mouth, Potlatch R.",Instream Remote Detection System,17060306,Clearwater,522.224.024.028.001,799,Upstream Array,The Pine Creek Array is located on Pine Creek immediately above the confluence with the Potlatch River near river kilometer 28.  PCM was fully operational on 10-1-2015.  The site consists of two sets of two antennas.  A cellular modem has been set up for remote data retrieval.,46.630673,-116.596836,Brian Knoth,Brian.Knoth@idfg.idaho.gov,(208) 750-4230,IDFG,CRLMA-s,Clearwater River lower mainstem,Snake River Basin Steelhead DPS,Clearwater River,CRPOT,Polatch River,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater
INT,RRT,Adult Ladder,No,No,IDFG,IDFG,Unknown,110,SF Clearwater,SF Clearwater,13,GRA SC1 SC2B0 SC2A0,Red River Satellite Facility,Hatchery Returns,17060305,South Fork Clearwater,522.224.120.101.027,994,ADULT RETURN LADDER,"This array is located in the ladder of the Red River Satellite Facility.  The Red River is a tributary to the South Fork Clearwater River.  The array consists of two overflow antennas.  The openings for the antennas are 30 x 36 and each antenna has a baffle to replicate the existing dam board baffle.  All fish migrating up the Red River that try to migrate upstream of the satellite facility are forced into the ladder via a removable weir.  Fish have the freedom to move into and out of the ladder at will and are not trapped until they jump a finger weir that is above all array antennas.  Adult Chinook salmon that swim past the array and enter the ladder are sorted by origin.  Natural origin fish are returned to the Red River, above the weir, while hatchery origin fish are typically ponded and latter spawned, recycled through the fishery, or released elsewhere in the basin.",45.71117908,-115.3471471,Chris Sullivan,chris.sullivan@idfg.idaho.gov,208-465-8404 x241,IDFG,CRSFC-s,South Fork Clearwater River,Snake River Basin Steelhead DPS,Clearwater River,SCUMA,Upper South Fork Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater
INT,STL,Adult Ladder,No,No,IDFG,IDFG,Unknown,100,Upper Salmon,Sawtooth Weir,26,GRA USE USI STL,Sawtooth Hatchery Adult Trap,Hatchery Returns,17060201,Upper Salmon,522.303.617.000,1442,KEYWAY 3 - ORIFICE,"This array is located in the ladder of the Sawtooth Hatchery adult fish trap.  The array consists of four antennas, a top-water (30x50) and submerged (18x18) antenna on both a down-ladder dam-board and an up-ladder dam-board.  All fish migrating up the Salmon River that try to migrate upstream of the satellite facility are forced into the ladder via a removable weir.  This weir is a permanent structure with removable panels that is very effective at blocking the upriver movement of fish.  Fish have the freedom to move into and out of the ladder at will and are not trapped until they jump a finger weir that is above all array antennas.  Adult Chinook salmon that swim past the array and enter the ladder are sorted by origin.  Natural origin fish are returned to the Salmon River above the weir while hatchery origin fish are typically ponded and later spawned, recycled through the fishery, or released elsewhere in the basin.",44.15336877,-114.8837724,Chris Sullivan,chris.sullivan@idfg.idaho.gov,208-465-8404 x241,IDFG,SRUMA-s,,,,,,,
INT,STR,Adult Ladder,No,No,IDFG,IDFG,Unknown,100,SFSR,SF Salmon,21,GRA SFG KRS STR,SF Salmon Satellite Facility,Hatchery Returns,17060208,South Fork Salmon,522.303.215.115,1155,DAMBOARD 1 - ORIFICE,"This array is located in the ladder of the South Fork Salmon River adult fish trap.  The array consists of four antennas, a top-water (30 x 60) and submerged (12 x 15) antenna on both a down-ladder dam-board and an up-ladder dam-board.  All fish migrating up the South Fork that try to migrate upstream of the satellite facility are forced into the ladder via a removable weir.  This weir is a permanent structure with removable panels that is very effective at blocking the upriver movement of fish.  Fish have the freedom to move into and out of the ladder at will and are not trapped until they jump a finger weir that is above all array antennas.  Adult Chinook salmon that swim past the array and enter the ladder are sorted by origin.  Natural origin fish are returned to the South Fork above the weir while hatchery origin fish are typically ponded and latter spawned, recycled through the fishery, or released elsewhere in the basin.",44.66687408,-115.7029529,Chris Sullivan,chris.sullivan@idfg.idaho.gov,208-465-8404 x241,IDFG,SFMAI-s,South Fork Salmon River,Snake River Basin Steelhead DPS,Salmon River,SFSMA,South Fork Salmon River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,South Fork Salmon River
INT,CMP,Adult Est.,Yes,No,NPT,NPT,BPA,100,Imnaha,Imnaha,11,GRA IR1 IR2 CMPB0 CMPA0,Camp Creek at rkm 2 - Imnaha,Instream Remote Detection System,17060102,Imnaha,522.308.032.002.002,866,Upstream Array,"In-stream detection system consisting of a tandem array located in Camp Creek.  The array (CMP) is located at river km 522.308.032.002.002 (N 45.552014° W -116.866883°) and consists of four 10 foot Biomark PVC Lite tandem antennas.  The array spans the entire river at base flow.  CMP is operated by Lower Snake River Compensation Plan (LSRCP) personnel employed by the Nez Perce Tribe Fisheries and was installed for continuous monitoring on February 21, 2013.  Electrical power is provided by a battery switcher and is charged by direct AC.  Data collection started on February 21, 2013.",45.55181905,-116.8669387,Lora Tennant,lorat@nezperce.org,(541) 432-2514,NPT,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRMAI,Imnaha River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,CZY,Adult Est.,Yes,No,NPT,NPT,BPA,100,Imnaha,Imnaha,11,GRA IR1 IR2 IR3B0 IR3A0 CZYB0 CZYA0,Crazyman Creek at 0.6 km,Instream Remote Detection System,17060102,Imnaha,522.308.080.001,911,Upstream Array,Instream detection system consisting of a tandum array located in the Imnaha River basin on Crazyman Creek. The array (CZY) is located at rkm 522.308.80.001 (N 45.22930 W -116.84478) and comprises of two arrays. Each array consists of two 10 foot Biomark light round black HPD antennas that spans the entire creek at base flow. Electrical power is from a thermal electric generator powered by eight 100 pound propane tanks. Remote communication is provided by a satellite phone modem. The site was installed on 11/8/2013.,45.2293,-116.84478,Neal Espinosa,neale@nezperce.org,(541) 432-2502,NPT,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRMAI,Imnaha River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,SW1,Adult Est.,Yes,No,NPT,NPT,BPA,100,Clearwater,Selway River,16,GRA SW1,Lower Selway River Array,Instream Remote Detection System,17060302,Lower Selway,522.224.120.037.005,908,River Left-side Array,"The lower Selway PIT tag array is located 5 rkm upstream of the mouth of the Selway River in the upper Clearwater Basin Idaho.  The array spans the entire river, high water mark to high water mark.  The site consists of a pair of Biomark IS1001-Master Controllers, 19-IS1001 readers, eighteen 20 ft antennas and one 10 ft antenna. The antennas are arranged in single 370 ft array. IS1001-MC A0 controls antennas 01-0A (from left-bank) and IS1001-MC BO controls antennas 01-09 (from middle of channel to right bank). Site has AC power with Biomark PLC battery switcher, satellite communication and Campbell Scientific CS451 and 109 environmental probes.",46.110318,-115.565886,Jason Vogel,jasonv@nezperce.org,(208) 843-7145,NPT,CRSEL-s,Selway River,Snake River Basin Steelhead DPS,Clearwater River,SEUMA,Upper Selway River,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater
INT,CCW,Adult Ladder,No,No,ODFW,ODFW,Unknown,100,Grande Ronde,Upper Grande Ronde,19,GRA UGR CCWB0 CCWA0,Catherine Creek Ladder/Weir,Adult Fishway,17060104,Upper Grande Ronde,522.271.232.032,1057,Top Ladder Antenna,Instream detection array located in the adult return fish ladder at the Catherine Creek weir. Site includes a FA1001M multiplexing receiver and cell modem and two antennas located inside the adult return ladder. Antennas are secured to weir dam boards for pass-through detection. Site is electric grid power. Site is on private land.,45.19096404,-117.8286166,Joseph Feldhaus,joseph.feldhaus@state.or.us,(541) 962-3724,ODFW,,,,,,,,
INT,IML,Adult Ladder,No,No,ODFW,ODFW,LSRCP,120,Imnaha,Imnaha,11,GRA IR1 IR2 IR3B0 IR3A0 IR4B0 IR4A0 IMLB0 IMLA0,Imnaha River Weir Adult Ladder,Adult Fishway,17060102,Imnaha,522.308.084,914,Upper Ladder Antenna,"The site is located at the Oregon Dept. of Fish and Wildlife (ODFW) fish weir on the Imnaha River. There are two antennas located within the fish ladder. The antennas are currently driven by Biomark IS1001s and controlled by a Biomark IS1001-MC. The equipment is powered by a Hybrid- TEG (model 5220 and 1kw solar). The readers are connected to the controller via Biomark Data-Over-Power (DOP) cabling. The MC is connected to a satellite modem for remote telemetry. The site is being remotely monitored by Biomark with automatic downloads (and PTAGIS submissions) every four hours. The power supply and remote telemetry are being shared by the three interrogation sites at the weir, IR4, IR5, and IML.",45.19427639,-116.8686635,Joseph Feldhaus,joseph.feldhaus@state.or.us,(541) 962-3724,ODFW,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRMAI,Imnaha River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,IR4,Weir Eval,No,No,ODFW,ODFW,LSRCP,100,Imnaha,Imnaha,11,GRA IR1 IR2 IR3B0 IR3A0 IR4B0 IR4A0,Imnaha Weir Downstream Array,Instream Remote Detection System,17060102,Imnaha,522.308.084,914,Upstream Array,"The site is located downstream of the Oregon Dept. of Fish and Wildlife (ODFW) fish weir on the Imnaha River. There are six antennas approximately 75-feet downstream of the weir. The antennas are driven by Biomark IS1001s and controlled by a Biomark IS1001-MC. The instream antennas are anchored to the streambed with a through-strut system. The equipment is powered by a Hybrid- TEG (model 5220 and 1kw solar). The readers are connected to the controller via Biomark Data-Over-Power (DOP) cabling. The MC is connected to a satellite modem for remote telemetry. The site is being remotely monitored by Biomark with automatic downloads (and PTAGIS submissions) every four hours. The power supply and remote telemetry are being shared by the three interrogation sites at the weir, IR4, IR5, and IML.",45.19446,-116.868774,Joseph Feldhaus,joseph.feldhaus@state.or.us,(541) 962-3724,ODFW,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRMAI,Imnaha River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,IR5,Weir Eval,No,No,ODFW,ODFW,LSRCP,100,Imnaha,Imnaha,11,GRA IR1 IR2 IR3B0 IR3A0 IR4B0 IR4A0 IMLB0 IMLA0 IMNAHW IR5B0 IR5A0,Imnaha Weir Upstream Array,Instream Remote Detection System,17060102,Imnaha,522.308.084,914,Upstream Array,"The site is located upstream of the Oregon Dept. of Fish and Wildlife (ODFW) fish weir on the Imnaha River. There are eight antennas approximately 300-feet upstream of the weir. The antennas are driven by Biomark IS1001s and controlled by a Biomark IS1001-MC. The instream antennas are anchored to the streambed with a through-strut system. The equipment is powered by a Hybrid- TEG (model 5220 and 1kw solar). The readers are connected to the controller via Biomark Data-Over-Power (DOP) cabling. The MC is connected to a satellite modem for remote telemetry. The site is being remotely monitored by Biomark with automatic downloads (and PTAGIS submissions) every four hours. The power supply and remote telemetry are being shared by the three interrogation sites at the weir, IR5, IR5, and IML.",45.193188,-116.868593,Joseph Feldhaus,joseph.feldhaus@state.or.us,(541) 962-3724,ODFW,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRMAI,Imnaha River mainstem,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,18M,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,110,Lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 HECB0 HECA0,Eighteenmile Creek,Instream Remote Detection System,17060204,Lemhi,522.303.416.092.001,1334,Upstream Antenna,"An in-stream detection system on Eighteenmile Creek located approximately 300 meters upstream from the confluence with Texas Creek to form the Lemhi River.  This detection system is comprised of two arrays installed serially with one 10 ft. ABS antenna at each array location.  18M is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the summer of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.",44.682795,-113.35366,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,AGC,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,100,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 AGCB0 AGCA0,"Agency Creek, Lemhi R. Basin",Instream Remote Detection System,17060204,Lemhi,522.303.416.039.001,1281,Upstream Array,"In-stream detection system consisting of a triple array located in Agency Creek. The array (AGC) is located 1.1 km upstream of the confluence with the Lemhi River and is comprised of 3 arrays, deployed serially at about 10 m apart, of one 10 ft PVC pipe pass-by antenna each. The Agency Creek array site is located 30 meters upstream of the culvert on Old Idaho 28 road. AGC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. Site electricity comes from the adjacent electrical service lines and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.. Site was decommissioned June 2017, last data recieved November 2016.",44.9567394,-113.6395426,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,BHC,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,110,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 BHCB0 BHCA0,Bohannon Creek Lemhi R Basin,Instream Remote Detection System,17060204,Lemhi,522.303.416.017.001,1259,Upstream Array,"In-stream detection system consisting of a triple array located in Bohannon Creek. The array (BHC) is located 40 m upstream of the confluence with the Lemhi River and is comprised of 3 arrays , deployed serially at about 10 m apart, of one 5 ft PVC pipe pass-by antenna each. The Bohannon Creek array site is located 0.3 km off of the Old Lemhi Road. BHC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. This site was moved from its previous location (approximately 0.5km upstream) and installed for continuous monitoring in October 2013. Additionally, Site equipment was changed from Destron MUX FS1001 to the Quantitative Sampling Technology QuBE System.  Site electricity comes from the adjacent electrical service lines and remote communication is provided by a cellular telephone modem. Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.",45.112189,-113.746897,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,BSC,Adult Est.,Yes,Yes,QCI,QCI/NPT,BPA,100,Imnaha,Imnaha,11,GRA IR1 IR2 BSCB0 BSCA0,Big Sheep Creek ISA at km 6,Instream Remote Detection System,17060102,Imnaha,522.308.032.006,868,UPSTREAM LEFT,"In-stream detection system consisting of a tandem array located in Big Sheep Creek. The array (BSC) located at river km 6 (N 45.50649, W -116.85067) consists of two arrays , deployed serially 10 m apart, of two 20 ft Biomark flat panel antennas each. BSC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on October 20, 2010. The array includes ISEMP standard site monitoring equipment including air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a thermal electric generator and remote communication provided by a satellite modem.",45.50648209,-116.8507347,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,IRMAI-s,Imnaha River,Snake River Basin Steelhead DPS,Imnaha River,IRBSH,Big Sheep Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha
INT,BTC,Adult/Juvenile,Yes,Yes,QCI,QCI/NPT,BPA,100,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 BTLB0 BTLA0,Big Timber Creek,Instream Remote Detection System,17060204,Lemhi,522.303.416.089.001,1331,UPSTREAM 10-FT PASSBY ANTENNA,This is an instream interrogation system consisting of two 10-foot pass-by antennas arrayed in tandem at km 1.3 on Big Timber Creek. Site was decommissioned October 2013. New site with code BTL was installed 1km downstream and replaces this site.,44.68811,-113.37041,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,BTL,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,110,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 BTLB0 BTLA0,"Lower Big Timber, Lemhi Basin",Instream Remote Detection System,17060204,Lemhi,522.303.416.089.001,1331,Upstream Antenna,"In-stream detection system currently consisting of two antennas located in Big Timber Creek approximately 300 meters upstream of the confluence with the Lemhi River.  The Big Timber array site is located 1.32 k below the culvert on Highway 28. BTL is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. This site is powered by a 24 volt solar powered system and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors. The initial site configuration consisting of three arrays of two antennas each was replaced in October 2016 with a 20 ft and a 10ft antenna deployed about 30 meters apart.",44.69756833,-113.374118,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
INT,BTM,Adult/Juvenile,Yes,No,QCI,QCI/NPT,Unknown,100,lemhi,Lemhi River,25,GRA LLRB0 LLRA0 LRWB0 LRWA0 BTLB0 BTLA0 BTMB0 BTMA0,Big Timber Creek - Middle,Instream Remote Detection System,17060204,Lemhi,522.303.416.089.005,1335,Upstream Array,"This in-stream detection system on Big Timber Creek is located approximately 5.3 km upstream of the confluence with the Lemhi River and is comprised of three arrays.  The upstream array consists of one 10 ft antenna, the middle array consists of two 10 ft antennas, and the downstream array consists of a single 10 ft antenna. BTM is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. This site was installed in May 2015 and is powered by a battery bank, which is charged by solar panels.  Remote communication is provided by a cellular telephone modem.",44.660444,-113.377624,Kevin Peterson,kpeterson@qcinc.org,(208) 275-0011,QCI,SRLEM-s,Lemhi River,Snake River Basin Steelhead DPS,Salmon River,SRLEM,Lemhi River,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River
