"ID","TagID","ObsDate","lastObsDate","SiteID","Node","AutoProcStatus","UserProcStatus","ModelObs","ValidPath","UserComment","TrapDate","BranchNum","Group","NodeOrder","Direction","Migration"
14,"3D9.1C2DDC8D53",4/18/2017 0:04:09,4/18/2017 0:04:09,"WR1","WR1",1,1,1,1,,7/7/2016 0:00:00,"18","Wallowa",2.00,"Up","Upstream"
15,"3D9.1C2DDCCC2E",7/7/2016 10:00:00,7/7/2016 14:46:46,"LGRLDR","GRA",1,1,1,1,,7/7/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
16,"3D9.1C2DE0FD57",7/7/2016 10:00:00,9/20/2016 13:42:52,"LGRLDR","GRA",1,1,1,1,,7/7/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
17,"3D9.1C2DE76020",7/7/2016 10:00:00,7/8/2016 13:25:27,"LGRLDR","GRA",1,1,1,1,,7/7/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
18,"3D9.1C2DE76020",2/12/2017 17:35:51,2/12/2017 17:35:51,"ACB","ACB",1,1,1,1,,7/7/2016 0:00:00,"5","Asotin",5.00,"Up","Upstream"
19,"3D9.1C2DE76020",2/25/2017 11:33:20,2/25/2017 11:33:23,"AFC","AFCA0",1,1,1,1,,7/7/2016 0:00:00,"5","Asotin",7.00,"Up","Upstream"
20,"3D9.1C2DE76020",3/3/2017 16:49:29,3/6/2017 2:39:14,"AFC","AFCB0",1,1,0,1,,7/7/2016 0:00:00,"5","Asotin",6.00,"Down","Downstream"
21,"3D9.1C2DE76020",3/6/2017 20:06:55,3/7/2017 2:08:57,"ACB","ACB",1,1,0,1,,7/7/2016 0:00:00,"5","Asotin",5.00,"Down","Downstream"
22,"3D9.1C2DE76020",3/8/2017 9:00:00,3/8/2017 9:00:00,"ASOTIC","ASOTIC",1,1,0,1,,7/7/2016 0:00:00,"5","Asotin",4.00,"Down","Downstream"
23,"3D9.1C2DDC474C",7/8/2016 9:17:05,7/8/2016 10:00:00,"GRA","GRA",1,1,1,0,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
24,"3D9.1C2DDC474C",3/25/2017 0:00:00,3/25/2017 0:00:00,"WALH","WALH",0,0,0,0,"WALH obs is an upload error",7/8/2016 0:00:00,"18","Wallowa",3.00,"Up","Upstream"
25,"3D9.1C2DDC474C",3/25/2017 2:01:00,3/25/2017 2:01:00,"BCANF","BCANF",1,1,1,0,,7/8/2016 0:00:00,"18","Wallowa",3.00,"NA","Downstream"
26,"3D9.1C2DDC4E89",7/8/2016 10:00:00,7/18/2016 15:57:06,"LGRLDR","GRA",1,1,1,1,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
27,"3D9.1C2DDC62C5",7/8/2016 9:54:56,7/8/2016 10:11:16,"GRA","GRA",1,1,1,1,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
28,"3D9.1C2DDCBC03",7/8/2016 9:25:56,7/8/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
29,"3D9.1C2DDCBC03",3/14/2017 1:10:21,3/14/2017 1:10:21,"USI","USI",1,1,1,1,,7/8/2016 0:00:00,"26","UpperSalmon",3.00,"Up","Upstream"
30,"3D9.1C2DDCC6B0",7/8/2016 10:00:00,7/8/2016 10:59:28,"LGRLDR","GRA",1,1,1,1,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
31,"3D9.1C2DDCC6B0",3/6/2017 0:34:12,3/6/2017 0:34:12,"IR1","IR1",1,1,1,1,,7/8/2016 0:00:00,"11","ImnahaRiver",2.00,"Up","Upstream"
32,"3D9.1C2DDCC6B0",3/6/2017 18:42:25,3/6/2017 22:04:35,"IR2","IR2",1,1,1,1,,7/8/2016 0:00:00,"11","ImnahaRiver",3.00,"Up","Upstream"
33,"3D9.1C2DDCC6B0",3/14/2017 22:50:29,3/14/2017 22:50:29,"BSC","BSCB0",1,1,1,1,,7/8/2016 0:00:00,"11","ImnahaRiver",4.00,"Up","Upstream"
34,"3D9.1C2DDCC6B0",3/14/2017 22:53:27,3/14/2017 22:53:27,"BSC","BSCA0",1,1,1,1,,7/8/2016 0:00:00,"11","ImnahaRiver",5.00,"Up","Upstream"
35,"3D9.1C2DDCCE57",7/8/2016 10:00:00,7/8/2016 10:56:21,"LGRLDR","GRA",1,1,1,1,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
36,"3D9.1C2DDCCE57",2/18/2017 14:05:34,2/18/2017 14:05:34,"JOC","JOCB0",1,1,1,1,,7/8/2016 0:00:00,"9","JosephCreek",2.00,"Up","Upstream"
37,"3D9.1C2DDCCE57",2/18/2017 14:06:02,2/18/2017 14:08:01,"JOC","JOCA0",1,1,1,1,,7/8/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
38,"3D9.1C2DDCD849",7/8/2016 10:00:00,7/8/2016 10:36:23,"LGRLDR","GRA",1,1,1,1,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
39,"3D9.1C2DDCFD95",7/8/2016 10:00:00,7/8/2016 10:27:08,"LGRLDR","GRA",1,1,1,1,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
40,"3D9.1C2DDCFD95",5/22/2017 11:00:00,5/22/2017 11:00:00,"LOOKGC","LOOKGC",1,1,1,1,,7/8/2016 0:00:00,"17","LookingGlass",2.00,"Up","Upstream"
41,"3D9.1C2DDD0581",7/8/2016 9:34:15,7/8/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
42,"3D9.1C2DE14DAA",7/8/2016 10:00:00,7/8/2016 12:18:49,"LGRLDR","GRA",1,1,1,1,,7/8/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
43,"3D9.1C2DE14DAA",4/20/2017 0:09:57,4/20/2017 0:09:57,"WR1","WR1",1,1,1,1,,7/8/2016 0:00:00,"18","Wallowa",2.00,"Up","Upstream"
44,"384.3B23A39AA6",7/11/2016 5:43:07,7/11/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/11/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
45,"3D9.1C2DDC63ED",7/11/2016 10:00:00,7/11/2016 11:51:43,"LGRLDR","GRA",1,1,1,1,,7/11/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
46,"3D9.1C2DDCACC2",7/11/2016 10:00:00,7/11/2016 10:25:57,"LGRLDR","GRA",1,1,1,1,,7/11/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
47,"3D9.1C2DDCACC2",2/24/2017 13:00:34,2/24/2017 13:01:43,"IR1","IR1",1,1,1,1,,7/11/2016 0:00:00,"11","ImnahaRiver",2.00,"Up","Upstream"
48,"3D9.1C2DDCACC2",2/25/2017 15:51:27,2/25/2017 15:51:27,"IR2","IR2",1,1,1,1,,7/11/2016 0:00:00,"11","ImnahaRiver",3.00,"Up","Upstream"
49,"3D9.1C2DDCACC2",3/14/2017 2:44:29,3/14/2017 2:44:29,"IR3","IR3B0",1,1,1,1,,7/11/2016 0:00:00,"11","ImnahaRiver",4.00,"Up","Upstream"
50,"3D9.1C2DDCC321",7/11/2016 10:00:00,9/4/2016 7:42:37,"LGRLDR","GRA",1,1,1,1,,7/11/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
51,"3D9.1C2DDCE993",7/11/2016 10:00:00,7/11/2016 10:55:57,"LGRLDR","GRA",1,1,1,1,,7/11/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
52,"3D9.1C2DDD055E",7/11/2016 10:00:00,7/11/2016 10:58:33,"LGRLDR","GRA",1,1,1,1,,7/11/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
53,"3D9.1C2DDD055E",3/19/2017 22:29:14,4/22/2017 9:20:00,"CRC","CRCA0",1,1,1,1,,7/11/2016 0:00:00,"24","CarmenCreek",3.00,"Up","Upstream"
54,"3D9.1C2DDD3CEB",7/11/2016 9:25:59,7/11/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/11/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
55,"3D9.1C2DDD3CEB",2/19/2017 7:43:39,2/19/2017 7:43:39,"JOC","JOCB0",1,1,1,1,,7/11/2016 0:00:00,"9","JosephCreek",2.00,"Up","Upstream"
56,"3D9.1C2DDD3CEB",2/19/2017 7:44:10,2/20/2017 9:34:04,"JOC","JOCA0",1,1,1,1,,7/11/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
57,"3D9.1C2DDD3CEB",2/20/2017 11:17:01,2/20/2017 11:17:01,"JOC","JOCB0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",2.00,"Down","Upstream"
58,"3D9.1C2DDD3CEB",2/20/2017 13:35:07,2/20/2017 13:35:07,"JOC","JOCA0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
59,"3D9.1C2DDD3CEB",2/20/2017 16:27:01,2/20/2017 18:49:58,"JOC","JOCB0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",2.00,"Down","Upstream"
60,"3D9.1C2DDD3CEB",2/20/2017 18:54:25,2/20/2017 18:55:58,"JOC","JOCA0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
61,"3D9.1C2DDD3CEB",2/21/2017 11:20:04,2/22/2017 11:55:20,"JOC","JOCB0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",2.00,"Down","Upstream"
62,"3D9.1C2DDD3CEB",2/22/2017 11:57:07,2/22/2017 12:04:38,"JOC","JOCA0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
63,"3D9.1C2DDD3CEB",2/22/2017 12:22:09,2/22/2017 19:14:42,"JOC","JOCB0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",2.00,"Down","Upstream"
64,"3D9.1C2DDD3CEB",2/22/2017 19:15:24,2/22/2017 19:15:24,"JOC","JOCA0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
65,"3D9.1C2DDD3CEB",2/22/2017 19:15:52,2/23/2017 2:24:20,"JOC","JOCB0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",2.00,"Down","Upstream"
66,"3D9.1C2DDD3CEB",2/23/2017 2:25:36,2/23/2017 2:25:36,"JOC","JOCA0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
67,"3D9.1C2DDD3CEB",2/23/2017 6:49:30,2/23/2017 21:53:04,"JOC","JOCB0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",2.00,"Down","Upstream"
68,"3D9.1C2DDD3CEB",2/23/2017 21:53:39,2/24/2017 7:09:08,"JOC","JOCA0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
69,"3D9.1C2DDD3CEB",2/24/2017 7:10:00,3/12/2017 12:29:14,"JOC","JOCB0",1,1,0,1,,7/11/2016 0:00:00,"9","JosephCreek",2.00,"Down","Downstream"
70,"3D9.1C2DE72508",7/11/2016 10:00:00,7/11/2016 10:40:46,"LGRLDR","GRA",1,1,1,1,,7/11/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
71,"3D9.1C2DDC5016",7/12/2016 10:00:00,7/12/2016 11:28:44,"LGRLDR","GRA",1,1,1,1,,7/12/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
72,"3D9.1C2DDC5016",2/21/2017 8:38:01,2/21/2017 8:38:01,"JOC","JOCB0",1,1,1,1,,7/12/2016 0:00:00,"9","JosephCreek",2.00,"Up","Upstream"
73,"3D9.1C2DDC5016",2/21/2017 8:38:33,5/25/2017 2:10:04,"JOC","JOCA0",1,1,1,1,,7/12/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
74,"3D9.1C2DDC5016",5/25/2017 2:11:27,5/25/2017 2:11:27,"JOC","JOCB0",1,1,0,1,,7/12/2016 0:00:00,"9","JosephCreek",2.00,"Down","Downstream"
75,"3D9.1C2DDC8BC0",7/12/2016 9:28:55,7/12/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/12/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
76,"3D9.1C2DDC8BC0",4/7/2017 12:12:32,4/7/2017 12:12:34,"WR1","WR1",1,1,1,1,,7/12/2016 0:00:00,"18","Wallowa",2.00,"Up","Upstream"
77,"3D9.1C2DDCBFEB",7/12/2016 10:00:00,7/12/2016 11:13:05,"LGRLDR","GRA",1,1,1,1,,7/12/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
78,"3D9.1C2DDCBFEB",4/12/2017 23:53:02,4/12/2017 23:53:02,"WR1","WR1",1,1,1,1,,7/12/2016 0:00:00,"18","Wallowa",2.00,"Up","Upstream"
79,"3D9.1C2DE1099F",7/12/2016 10:00:00,7/12/2016 10:11:29,"LGRLDR","GRA",1,1,1,1,,7/12/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
80,"3D9.1C2DE1099F",2/18/2017 13:46:49,2/18/2017 13:47:01,"JOC","JOCB0",1,1,1,1,,7/12/2016 0:00:00,"9","JosephCreek",2.00,"Up","Upstream"
81,"3D9.1C2DE1099F",2/18/2017 13:47:20,2/18/2017 13:51:20,"JOC","JOCA0",1,1,1,1,,7/12/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
82,"3D9.1C2DE266E4",7/12/2016 10:00:00,7/12/2016 16:46:18,"LGRLDR","GRA",1,1,1,1,,7/12/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
83,"3D9.1C2DE28006",7/12/2016 10:00:00,2/23/2017 23:15:05,"LGRLDR","GRA",1,1,1,1,,7/12/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
84,"3D9.1C2DE28006",3/12/2017 5:46:30,3/12/2017 5:46:30,"ACM","ACMB0",1,1,1,1,,7/12/2016 0:00:00,"5","Asotin",2.00,"Up","Upstream"
85,"3D9.1C2DE28006",3/12/2017 5:46:47,3/12/2017 5:46:47,"ACM","ACMA0",1,1,1,1,,7/12/2016 0:00:00,"5","Asotin",3.00,"Up","Upstream"
86,"3D9.1C2DE28006",3/26/2017 13:12:08,3/26/2017 13:12:08,"CCA","CCAA0",1,1,1,1,,7/12/2016 0:00:00,"5","Asotin",7.00,"Up","Upstream"
87,"3D9.1C2DE734A7",7/12/2016 10:00:00,7/12/2016 11:01:53,"LGRLDR","GRA",1,1,1,1,,7/12/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
88,"3D9.1C2DE734A7",2/12/2017 14:51:43,3/12/2017 14:51:43,"IR1","IR1",1,1,1,1,,7/12/2016 0:00:00,"11","ImnahaRiver",2.00,"Up","Upstream"
89,"3D9.1C2DE734A7",3/12/2017 20:58:01,3/12/2017 22:01:04,"IR2","IR2",1,1,1,1,,7/12/2016 0:00:00,"11","ImnahaRiver",3.00,"Up","Upstream"
90,"3D9.1C2DE734A7",3/20/2017 12:39:54,3/20/2017 12:39:54,"BSC","BSCB0",1,1,1,1,,7/12/2016 0:00:00,"11","ImnahaRiver",4.00,"Up","Upstream"
91,"3D9.1C2DE734A7",3/20/2017 12:45:44,3/20/2017 12:45:44,"BSC","BSCA0",1,1,1,1,,7/12/2016 0:00:00,"11","ImnahaRiver",5.00,"Up","Upstream"
92,"3D9.1C2DDC5E9C",7/13/2016 10:00:00,7/13/2016 11:15:09,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
93,"3D9.1C2DE76C30",7/13/2016 10:00:00,7/13/2016 15:02:25,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
94,"3DD.00775D0751",7/13/2016 10:00:00,7/13/2016 16:19:26,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
95,"3DD.00775D15E7",7/13/2016 10:00:00,7/13/2016 12:18:42,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
96,"3DD.00775D1CD7",7/13/2016 10:00:00,7/13/2016 15:18:19,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
97,"3DD.00775D22A1",7/13/2016 10:00:00,7/13/2016 10:44:18,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
98,"3DD.00775D25E8",7/13/2016 10:00:00,7/13/2016 12:57:35,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
99,"3DD.00775D26FD",7/13/2016 10:00:00,7/13/2016 10:46:07,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
100,"3DD.00775D30BA",7/13/2016 10:00:00,7/13/2016 10:48:40,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
101,"3DD.00775D4F36",7/13/2016 10:00:00,7/20/2016 14:03:13,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
102,"3DD.00775D5272",7/13/2016 10:00:00,7/13/2016 13:29:12,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
103,"3DD.00775D5272",3/11/2017 21:28:33,3/11/2017 21:29:26,"LTR","LTR",1,1,1,1,,7/13/2016 0:00:00,"1","Tucannon",2.00,"Up","Upstream"
104,"3DD.00775D5293",7/13/2016 10:00:00,7/13/2016 14:04:49,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
105,"3DD.00775D5293",3/18/2017 10:28:13,3/18/2017 10:28:13,"IR1","IR1",1,1,1,1,,7/13/2016 0:00:00,"11","ImnahaRiver",2.00,"Up","Upstream"
106,"3DD.00775D5293",4/13/2017 12:43:51,4/13/2017 12:43:51,"IR3","IR3A0",1,1,1,1,,7/13/2016 0:00:00,"11","ImnahaRiver",5.00,"Up","Upstream"
107,"3DD.00775D5DA2",7/13/2016 10:00:00,7/13/2016 12:08:46,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
108,"3DD.00775D5DA2",4/24/2017 22:25:02,4/24/2017 22:25:02,"WR1","WR1",1,1,1,1,,7/13/2016 0:00:00,"18","Wallowa",2.00,"Up","Upstream"
109,"3DD.00775D7286",7/13/2016 10:00:00,7/13/2016 14:24:37,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
110,"3DD.00775D78DB",7/13/2016 10:00:00,7/13/2016 11:37:31,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
111,"3DD.00775D8C74",7/13/2016 10:00:00,7/13/2016 13:51:57,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
112,"3DD.00775D9370",7/13/2016 10:00:00,9/28/2016 13:49:52,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
113,"3DD.00775DA6FB",7/13/2016 10:00:00,7/13/2016 12:46:09,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
114,"3DD.00775DB908",7/13/2016 10:00:00,7/13/2016 11:05:42,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
115,"3DD.00775E0BA8",7/13/2016 10:00:00,9/22/2016 17:45:04,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
116,"3DD.00775E0BA8",3/17/2017 13:11:02,3/17/2017 13:11:02,"IR1","IR1",1,1,1,1,,7/13/2016 0:00:00,"11","ImnahaRiver",2.00,"Up","Upstream"
117,"3DD.00775E25F3",7/13/2016 10:00:00,7/13/2016 11:56:12,"LGRLDR","GRA",1,1,1,1,,7/13/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
118,"3DD.00775D0687",7/14/2016 10:00:00,7/14/2016 10:56:51,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
119,"3DD.00775D0966",7/14/2016 9:50:31,7/14/2016 10:14:55,"GRA","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
120,"3DD.00775D0966",2/12/2017 9:36:07,2/12/2017 9:36:07,"JOC","JOCB0",1,1,1,1,,7/14/2016 0:00:00,"9","JosephCreek",2.00,"Up","Upstream"
121,"3DD.00775D0966",2/12/2017 9:39:13,2/12/2017 9:43:29,"JOC","JOCA0",1,1,1,1,,7/14/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
122,"3DD.00775D2631",7/14/2016 8:57:11,7/14/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
123,"3DD.00775D3D58",7/14/2016 10:00:00,7/14/2016 15:42:14,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
124,"3DD.00775D3D58",3/12/2017 14:48:10,3/12/2017 14:48:10,"IR1","IR1",1,1,1,1,,7/14/2016 0:00:00,"11","ImnahaRiver",2.00,"Up","Upstream"
125,"3DD.00775D3D58",3/13/2017 0:33:44,3/13/2017 0:33:44,"IR2","IR2",1,1,1,1,,7/14/2016 0:00:00,"11","ImnahaRiver",3.00,"Up","Upstream"
126,"3DD.00775D5288",7/14/2016 10:00:00,7/14/2016 13:41:46,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
127,"3DD.00775D757F",7/14/2016 10:00:00,7/14/2016 11:38:00,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
128,"3DD.00775D7BD2",7/14/2016 10:00:00,7/14/2016 10:51:20,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
129,"3DD.00775D7E69",7/14/2016 10:00:00,7/14/2016 15:10:53,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
130,"3DD.00775D7E69",3/1/2017 15:59:07,3/1/2017 15:59:07,"UGR","UGR",1,1,1,1,,7/14/2016 0:00:00,"19","GrandeRonde",2.00,"Up","Upstream"
131,"3DD.00775D81A9",7/14/2016 10:00:00,7/14/2016 10:43:13,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
132,"3DD.00775D8842",7/14/2016 9:50:22,7/14/2016 10:05:55,"GRA","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
133,"3DD.00775D8842",2/16/2017 19:34:19,2/16/2017 19:34:19,"WR1","WR1",1,1,1,1,,7/14/2016 0:00:00,"18","Wallowa",2.00,"Up","Upstream"
134,"3DD.00775D9786",7/14/2016 10:00:00,7/14/2016 13:38:14,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
135,"3DD.00775DC5A3",7/14/2016 10:00:00,7/17/2016 14:37:23,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
136,"3DD.00775DD387",7/14/2016 9:19:34,7/14/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
137,"3DD.00775DF400",7/14/2016 9:45:38,7/14/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
138,"3DD.00775DF400",2/19/2017 9:00:00,2/19/2017 9:00:00,"ASOTIC","ASOTIC",1,1,1,1,,7/14/2016 0:00:00,"5","Asotin",4.00,"Up","Upstream"
139,"3DD.00775DF400",2/20/2017 15:54:08,2/20/2017 15:56:36,"ACB","ACB",1,1,1,1,,7/14/2016 0:00:00,"5","Asotin",5.00,"Up","Upstream"
140,"3DD.00775DFEE7",7/14/2016 10:00:00,7/26/2016 14:35:33,"LGRLDR","GRA",1,1,1,1,,7/14/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
141,"3DD.00775DFEE7",2/11/2017 18:31:27,2/11/2017 18:31:27,"JOC","JOCB0",1,1,1,1,,7/14/2016 0:00:00,"9","JosephCreek",2.00,"Up","Upstream"
142,"3DD.00775DFEE7",2/11/2017 18:32:14,2/11/2017 18:43:20,"JOC","JOCA0",1,1,1,1,,7/14/2016 0:00:00,"9","JosephCreek",3.00,"Up","Upstream"
